Name,label
B cells,CD14-|CD33-|CD3-|CD19+|CD20+
CD16- monocytes,CD14+|CD33+|CD16-
CD16+ monocytes,CD14+|CD33+|CD16+
CD4+ T cells,CD14-|CD33-|CD3+|CD4+
CD8+ T cells,CD14-|CD33-|CD3+|CD8+
central memory CD4+ T cells,CD14-|CD33-|CD3+|CD4+|CCR7+|CD45RA-
central memory CD8+ T cells,CD14-|CD33-|CD3+|CD8+|CCR7+|CD45RA-
effector CD4+ T cells,CD14-|CD33-|CD3+|CD4+|CCR7-|CD45RA+
effector CD8+ T cells,CD14-|CD33-|CD3+|CD8+|CCR7-|CD45RA+
effector memory CD4+ T cells,CD14-|CD33-|CD3+|CD4+|CCR7-|CD45RA-
effector memory CD8+ T cells,CD14-|CD33-|CD3+|CD8+|CCR7-|CD45RA-
gamma-delta T cells,CD14-|CD33-|TCRGD+
memory B cells,CD14-|CD33-|CD3-|CD19+|CD20+|CD24+|CD38-
monocytes,CD14+|CD33+
naive B cells,CD14-|CD33-|CD3-|CD19+|CD20+|CD24-|CD38+
naive CD4+ T cells,CD14-|CD33-|CD3+|CD4+|CCR7+|CD45RA+
naive CD8+ T cells,CD14-|CD33-|CD3+|CD8+|CCR7+|CD45RA+
NK cells,CD14-|CD33-|CD3-|CD16+|CD56+
NKT cells,CD14-|CD33-|CD3+|CD56+
plasmablasts,CD14-|CD33-|CD3-|CD20-|CD27+|CD38+
T cells,CD14-|CD33-|CD3+
transitional B cells,CD14-|CD33-|CD3-|CD19+|CD20+|CD24+|CD38+
Tregs,CD14-|CD33-|CD3+|CD4+|CD25+|CD127-
DC,CD11c+|HLADR+|CD19-|CD14-|CD56-
